data_hora,rodada,aquecimento,versao,modo,trava,workers,chunksize,imagens,pixels,t_total_s,t_preparo_s,t_processamento_s,t_final_s,espera_trava_s,dentro_trava_s,inicio_primeira_tarefa_s,cauda_s,ocupacao,fluxos_usados,impressao_digital,cpu,nucleos_fisicos,nucleos_logicos,ram_gb,sistema,python,pillow,numpy,maquina
2026-09-21T20:18:21,0,1,seq,,,1,,3334,873988096,260.34978150000006,0.09416009999995367,260.2495936999999,0.006027700000231562,0.0,0.0,,,,1,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:22:47,1,0,seq,,,1,,3334,873988096,236.09248300000036,0.13562739999997575,235.9509097,0.005945900000369875,0.0,0.0,,,,1,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:26:56,1,0,par,processos,fina,2,4,3334,873988096,164.2314609999994,0.10697839999920689,164.1159477000001,0.008534900000086054,0.0231889,0.0839635,0.36331430000063847,0.1498051000007763,0.9988585410799761,2,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:29:47,1,0,par,processos,fina,4,4,3334,873988096,120.9454512000002,0.17335219999949913,120.76504360000035,0.007055400000353984,0.0301167,0.107713,0.49944180000056804,0.40693480000027193,0.9972267424564468,4,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:31:54,1,0,par,processos,fina,8,4,3334,873988096,79.5263928000004,0.21246719999999186,79.30070000000069,0.013225599999714177,0.0462144,0.1179673,0.762600900000507,0.5914620000003197,0.9945883941898958,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:33:20,2,0,seq,,,1,,3334,873988096,296.34279249999963,0.17629169999963779,296.16075009999986,0.005750700000135112,0.0,0.0,,,,1,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:38:25,2,0,par,processos,fina,2,4,3334,873988096,157.28119010000046,0.2546603000000687,157.01894810000067,0.007581699999718694,0.022505,0.08092,0.5697072000002663,0.17575620000025083,0.9987156294398113,2,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:41:09,2,0,par,processos,fina,4,4,3334,873988096,98.34597940000003,0.1272688000008202,98.21102989999963,0.00768069999958243,0.0263559,0.0930656,0.47551109999949404,0.40073649999976624,0.9967823437756689,4,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:42:53,2,0,par,processos,fina,8,4,3334,873988096,75.15800679999938,0.12827680000009423,75.01862989999972,0.011100099999566737,0.0528533,0.1112092,0.637889699999505,0.5163630999995803,0.9935436422271303,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:44:13,3,0,seq,,,1,,3334,873988096,236.86529239999982,0.12118399999963003,236.7370363,0.007072100000186765,0.0,0.0,,,,1,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:48:19,3,0,par,processos,fina,2,4,3334,873988096,167.47498349999933,0.22994659999949363,167.23496109999996,0.01007579999986774,0.0237942,0.0837816,0.41152729999976145,0.13816599999972823,0.9989140774697931,2,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:51:13,3,0,par,processos,fina,4,4,3334,873988096,99.67075680000016,0.1443066000001636,99.51766130000033,0.00878889999967214,0.0267734,0.0942848,0.5772831000003862,0.3263032999993811,0.9971462457999436,4,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
2026-09-21T20:52:58,3,0,par,processos,fina,8,4,3334,873988096,73.43514109999978,0.11614240000017162,73.31008320000001,0.008915499999602616,0.0349553,0.1158264,0.6128576000000976,0.4984041999996407,0.9934163798236928,8,ed067b987c6c422c58d6f3b25e5fff5b00f4e2caeab5a0f4f2e2e6fb5d139f03,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,8,23.7,Windows-11-10.0.26200-SP0,3.13.15,12.3.0,2.5.3,3022GABRIELMIRANDA
